idx,query,site_or_store,type,notes,status_code,latency_ms,top_names,top_categories,top_ids,raw_results_count,error,judgement
11,riesling mos,Store F,open,Region-specific wine,200,653.4,Вино игристое riesling mosel «Rieslinghaus» 1500мл | Вино игристое riesling mosel «Rieslinghaus» 750мл | Вино игристое riesling mosel «Mosel Craft» 1500мл | Вино игристое riesling mosel «Mosel Craft» 750мл | Вино игристое riesling mosel «Premium Cellar» 750мл,Алкоголь | Алкоголь | Алкоголь | Алкоголь | Алкоголь,P0759 | P0233 | P0125 | P0447 | P0109,10,,
12,памперсы 3,Store D,open,Size constraint,200,317.0,Подгузники детские ночные «PampKids» 96шт | Подгузники детские ночные «PampKids» 60шт | Подгузники детские ночные «Huggsy» 40шт | Подгузники детские для чувствительной кожи «PampKids» 60шт | Подгузники детские premium «Huggsy» 26шт,Детские товары | Детские товары | Детские товары | Детские товары | Детские товары,P0131 | P0412 | P0311 | P0810 | P0030,10,,
13,масло сл,Store A,open,Two-letter stop,200,268.8,Масло сливочное премиум «Teos» 200г | Масло сливочное фермерское «Teos» 225г | Масло сливочное безлактозное «Teos» 1кг | Масло сливочное безлактозное «Teos» 1кг | Масло сливочное безлактозное «Teos» 1кг,Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты,P0544 | P0944 | P0116 | P0713 | P0809,10,,
14,филе инд,Store A,open,Protein intent,200,197.3,Филе грудки индейки HoReCa «FarmLine» 5кг | Филе грудки индейки HoReCa «FarmLine» 5кг | Филе грудки индейки HoReCa «FarmLine» 700г | Филе грудки индейки HoReCa «FarmLine» 500г | Филе грудки индейки HoReCa «Chef's Choice» 700г,Мясо и птица | Мясо и птица | Мясо и птица | Мясо и птица | Мясо и птица,P0004 | P0959 | P0291 | P0982 | P0868,10,,
15,teos,Store A,open,Brand prefix,200,79.4,Йогурт греческий черника «Teos» 140г | Йогурт греческий персик «Teos» 900г | Йогурт греческий черника «Teos» 900г | Масло сливочное премиум «Teos» 200г | Масло сливочное фермерское «Teos» 225г,Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты,P0304 | P0284 | P0726 | P0544 | P0944,10,,
16,греч не,Store C,open,Cyrillic split,200,83.0,Крупа гречневая ядрица «Русская крупа» 15кг | Крупа гречневая ядрица «Русская крупа» 1000г | Крупа гречневая organic «Русская крупа» 15кг | Крупа гречневая organic «Русская крупа» 15кг | Крупа гречневая HoReCa «Северные поля» 15кг,Бакалея | Бакалея | Бакалея | Бакалея | Бакалея,P0007 | P0169 | P0161 | P0429 | P0175,10,,
17,prosecco ro,Store F,open,Latin multi-word,200,298.4,Вино игристое prosecco «Prosecco Alto» 1500мл | Вино игристое prosecco «Prosecco Alto» 750мл | Вино игристое rose «Prosecco Alto» 1500мл | Вино игристое sanpellegrino spritz «Prosecco Alto» 1500мл | Вино игристое sanpellegrino spritz «Prosecco Alto» 1500мл,Алкоголь | Алкоголь | Алкоголь | Алкоголь | Алкоголь,P0110 | P0183 | P0292 | P0090 | P0643,10,,
18,джин то,Store F,open,Cocktail ingredient,200,140.5,Джин премиальный grapefruit «Volt Spirit» 1000мл | Джин премиальный botanical «Volt Spirit» 700мл | Джин премиальный botanical «Volt Spirit» 700мл | Джин премиальный citrus «Volt Spirit» 500мл | Джин премиальный grapefruit «Nordic Gin» 1000мл,Алкоголь | Алкоголь | Алкоголь | Алкоголь | Алкоголь,P0962 | P0178 | P0911 | P0793 | P0083,10,,
19,хозяйст мыло,Store D,open,Household goods,200,66.5,Средство для мытья посуды professional «Clean&Shine» 1000мл | Средство для мытья посуды professional «Clean&Shine» 750мл | Средство для мытья посуды эко «AllDish» 1500мл | Средство для мытья посуды эко «Clean&Shine» 450мл | Средство для мытья посуды эко «Clean&Shine» 450мл,Бытовая химия | Бытовая химия | Бытовая химия | Бытовая химия | Бытовая химия,P0107 | P0114 | P0226 | P0397 | P0747,10,,
20,power bank 20,Store E,open,Numeric suffix,200,152.5,Power Bank 20000mAh «PowerStack» 1шт | Power Bank slim «PowerStack» 1шт | Power Bank 20000mAh «VoltEdge» 1шт | Power Bank 20000mAh «HyperCell» 1шт | Power Bank 65W «VoltEdge» 1шт,Электроника | Электроника | Электроника | Электроника | Электроника,P0714 | P0925 | P0197 | P0122 | P0172,10,,
