query,site,type,notes,top_1,top_1_score,top_2,top_2_score,top_3,top_3_score,latency_ms,precision_at_1,precision_at_3,precision_at_5,coverage_any,coverage_relevant,relevant_in_top_k,judgement
витамины иммунитет,Store B,hidden,Health vertical,Витаминный комплекс иммунитет «VitaCore» 60табл.,1.00,Витаминный комплекс иммунитет «Immuno+» 30табл.,1.00,Витаминный комплекс иммунитет «Immuno+» 30табл.,1.00,35.90,1.00,1.00,1.00,1,1,4,strong
маска для волос ker,Store B,hidden,Mixed Latin/Cyrillic,Крем для рук антибактериальный «Atelier Skin» 50мл,0.30,Крем для рук антибактериальный «Atelier Skin» 50мл,0.30,Крем для рук коллаген «Atelier Skin» 75мл,0.29,35.22,0.00,0.00,0.00,1,0,0,needs_review
лампа led smart,Store E,hidden,Smart home variant,Лампа LED smart «BrightHome» 1шт,1.00,Лампа LED smart «EcoLight» 1шт,0.99,Лампа LED теплый «Volt» 2шт,0.69,31.15,1.00,1.00,0.80,1,1,4,strong
trash bags 30l,Store D,hidden,English units,Пакеты для мусора с завязками «CleanUp» 20шт,1.00,Пакеты для мусора с завязками «StrongHold» 20шт,1.00,Пакеты для мусора прочные «CleanUp» 20шт,0.99,32.91,0.00,0.00,0.00,1,0,0,needs_review
cle an dish,Store D,hidden,Spacing noise,Средство для мытья посуды professional «Clean&Shine» 1000мл,0.70,Средство для мытья посуды professional «Clean&Shine» 750мл,0.70,Средство для мытья посуды эко «Clean&Shine» 450мл,0.70,34.04,0.00,0.00,0.00,1,0,0,needs_review
гель для душа sensitive,Store B,hidden,Mixed languages,Гель для душа sensitive «AquaVera» 250мл,1.00,Гель для душа sensitive «Sense» 250мл,1.00,Гель для душа увлажняющий «AquaVera» 500мл,0.62,37.32,1.00,1.00,0.80,1,1,4,strong
puree mango,Store D,hidden,Baby food in Latin,Пюре фруктовое злаки «Фрутти» 120г,1.00,Пюре фруктовое злаки «Фрутти» 90г,1.00,Пюре фруктовое тыква «FruitGo» 120г,0.99,25.38,0.00,0.00,0.00,1,0,0,needs_review
cat indoor steril,Store C,hidden,Foreign descriptor,Корм для кошек сухой sterilised «CatCraft» 5кг,0.99,Корм для кошек сухой indoor «CatCraft» 400г,0.96,Корм для кошек сухой indoor «CatCraft» 400г,0.96,31.70,1.00,1.00,0.60,1,1,3,strong
dog hypo salmon,Store C,hidden,Attribute-rich,Корм для собак гипоаллергенный salmon «DogForce» 800г,1.00,Корм для собак гипоаллергенный salmon «DogForce» 12кг,1.00,Корм для собак гипоаллергенный medium «DogForce» 1500г,0.68,32.70,1.00,0.67,0.40,1,1,2,ok
energy drink zero,Store E,hidden,English intent,Энергетический напиток zero «Litl Energy» 250мл,1.00,Энергетический напиток citrus «Litl Energy» 500мл,0.66,Энергетический напиток citrus «Litl Energy» 500мл,0.66,30.88,1.00,0.33,0.20,1,1,1,ok
сахар меш 25,Store C,hidden,Numeric B2B,Сахар-песок меш 25кг «HoReCa» 5кг,1.00,Сахар-песок меш 25кг «HoReCa» 1000г,1.00,Сахар-песок меш 25кг «SugarBox» 5кг,0.99,32.87,1.00,1.00,1.00,1,1,5,strong
teabag herbal detox,Store A,hidden,English tea,Фиточай успокаивающий «HerbalMix» 40саше,1.00,Фиточай детокс «HerbalMix» 20саше,1.00,Фиточай мята «HerbalMix» 80г,0.99,35.41,0.00,0.00,0.00,1,0,0,needs_review
сыр моцарелла 2 кг,Store C,hidden,Full words but should be in scope,Сыр гауда кусок «ChefPro» 2кг,0.99,Сыр гауда для сендвичей «Nordic Cheese» 2кг,0.98,Сыр гауда для сендвичей «Cheese&Co» 2кг,0.69,37.04,0.00,0.00,0.00,1,0,0,needs_review
gloves nitrile m,Store D,hidden,Protective equipment,Перчатки одноразовые m «Medico» 200шт,0.99,Перчатки одноразовые нитрил «Medico» 200шт,0.99,Перчатки одноразовые l «SafeTouch» 200шт,0.98,32.34,0.00,0.00,0.00,1,0,0,needs_review
SUMMARY,,,,,,,,,,34.9,0.57,0.49,0.44,93.33%,56.67%,64,"Any: 93.3%, Rel: 56.7%, P@3: 0.49"
