query,site,type,notes,top_1,top_1_score,top_2,top_2_score,top_3,top_3_score,latency_ms,precision_at_3,coverage,judgement
prosecco ro,Store F,open,Latin multi-word,Вино игристое rose «Prosecco Alto» 1500мл,171.32,Вино игристое prosecco «Prosecco Alto» 1500мл,122.91,Вино игристое prosecco «Prosecco Alto» 750мл,122.91,11.61,1.00,1,relevant
джин то,Store F,open,Cocktail ingredient,Масло оливковое Classico «La Toscana» 750мл,79.50,Масло оливковое для жарки «La Toscana» 250мл,79.50,Масло оливковое для салатов «La Toscana» 250мл,79.50,11.15,0.00,1,needs_review
хозяйст мыло,Store D,open,Household goods,Перчатки одноразовые l «SafeTouch» 200шт,3.38,Перчатки одноразовые l «SafeTouch» 200шт,3.38,Перчатки одноразовые m «Medico» 200шт,3.38,8.04,0.00,1,needs_review
power bank 20,Store E,open,Numeric suffix,Power Bank 20000mAh «PowerStack» 1шт,271.17,Power Bank 20000mAh «HyperCell» 1шт,236.90,Power Bank 20000mAh «VoltEdge» 1шт,236.90,11.61,1.00,1,relevant
сыр гауда,Store C,open,Category + brand,Сыр гауда кусок «ChefPro» 2кг,130.90,Сыр гауда для сендвичей «ChefPro» 200г,130.90,Сыр гауда кусок «Dutch Yard» 200г,128.31,10.14,1.00,1,relevant
diap night,Store D,open,Latin shortcut for diapers,Подгузники детские premium «Huggsy» 26шт,12.34,Подгузники детские для чувствительной кожи «Huggsy» 60шт,12.34,Подгузники детские premium «EcoBaby» 40шт,12.34,8.83,0.00,1,needs_review
cat adult,Store C,open,Pet food intent,Корм для кошек сухой adult «CatCraft» 1500г,207.07,Корм для кошек сухой hairball «CatCraft» 10кг,122.82,Корм для кошек сухой indoor «CatCraft» 400г,122.82,10.35,1.00,1,relevant
dog hypo,Store C,open,Hypoallergenic dog food,Корм для собак гипоаллергенный salmon «DogForce» 12кг,115.56,Корм для собак гипоаллергенный medium «DogForce» 1500г,115.56,Корм для собак гипоаллергенный mini «DogForce» 1500г,115.56,10.16,1.00,1,relevant
san pelle,Store F,open,Sparkling water brand,Минеральная вода citrus «San Pellegrino» 1.5л,264.47,Вино игристое sanpellegrino spritz «Prosecco Alto» 1500мл,89.69,Вино игристое sanpellegrino spritz «Prosecco Alto» 1500мл,89.69,8.92,0.33,1,needs_review
посуд моющ,Store D,open,Abbreviated dish soap,Средство для мытья посуды для детской посуды «AllDish» 450мл,97.29,Средство для мытья посуды для детской посуды «BioClean» 450мл,97.29,Средство для мытья посуды для детской посуды «Crystal Drop» 1500мл,96.06,10.78,0.00,1,needs_review
лампа led е27,Store E,open,Mixed alphabet technical,Лампа LED E27 «Volt» 4шт,291.54,Лампа LED E27 «EcoLight» 2шт,291.54,Лампа LED E27 «Volt» 4шт,291.54,11.46,1.00,1,relevant
мешки 120л,Store D,open,Trash bags with volume,,,,,,,6.47,0.00,0,needs_review
круп греч,Store C,open,Abbreviated grocery,Крупа гречневая ядрица «Русская крупа» 15кг,161.99,Крупа гречневая ядрица «Русская крупа» 900г,161.99,Крупа гречневая organic «Русская крупа» 15кг,161.99,12.06,1.00,1,relevant
рыба фил,Store B,open,Frozen fish block,Рыба минтай блок филе «ChefPro» 5кг,136.41,Рыба минтай блок филе «HoReCaFish» 10кг,136.41,Рыба минтай блок филе «HoReCaFish» 10кг,136.41,12.04,1.00,1,relevant
SUMMARY,,,,,,,,,,11.8,0.58,93.33%,"Coverage: 93.3%, P@3: 0.58"
